Team Name,Player Name,Type,Price
Punjab Kings,Sam Curran,All-Rounder,"₹18,50,00,000"
Mumbai Indians,Cameron Green,All-Rounder,"₹17,50,00,000"
Chennai Super Kings,Ben Stokes,All-Rounder,"₹16,25,00,000"
Lucknow Super Giants,Nicholas Pooran,Wicket-Keeper,"₹16,00,00,000"
Sunrisers Hyderabad,Harry Brook,Batter,"₹13,25,00,000"
Sunrisers Hyderabad,Mayank Agarwal,Batter,"₹8,25,00,000"
Gujarat Titans,Shivam Mavi,Bowler,"₹6,00,00,000"
Rajasthan Royals,Jason Holder,All-Rounder,"₹5,75,00,000"
Delhi Capitals,Mukesh Kumar,Bowler,"₹5,50,00,000"
Sunrisers Hyderabad,Heinrich Klaasen,Wicket-Keeper,"₹5,25,00,000"
